#838582,#838582,72,222,66,228,72,228
#444A4A,#444A4A,600,336,594,342,600,342
#8F8F87,#8F8F87,120,138,114,144,120,144
#8F9088,#8F9088,54,252,48,258,54,258
#594C3C,#594C3C,384,210,378,216,384,216
#77776D,#77776D,168,162,174,162,168,168
#876752,#876752,486,210,492,210,486,216
#553E2E,#553E2E,264,396,258,402,264,402
#C7C7BF,#C7C7BF,336,192,342,192,336,198
#DAD6D3,#DAD6D3,378,12,372,18,378,18
#8F918C,#8F918C,42,210,36,216,42,216
#6F6C63,#6F6C63,288,204,294,204,288,210
#53564B,#53564B,336,72,342,72,336,78
#938B7E,#938B7E,78,156,84,156,78,162
#451719,#451719,336,396,330,402,336,402
#ABACAE,#ABACAE,534,18,540,18,534,24
#B1919,#B1919,222,366,216,372,222,372
#7D7A73,#7D7A73,588,378,594,378,588,384
#404646,#404646,594,342,600,342,594,348
#9F8B82,#9F8B82,486,270,492,270,486,276
#80827D,#80827D,42,228,36,234,42,234
#EA6554,#EA6554,180,18,174,24,180,24
#E8A0AE,#E8A0AE,180,246,174,252,180,252
#B0ABA5,#B0ABA5,552,348,558,348,552,354
#DF5258,#DF5258,264,312,258,318,264,318
#121015,#121015,372,432,378,432,372,438
#7E5D4A,#7E5D4A,432,222,438,222,432,228
#393126,#393126,426,306,432,306,426,312
#9D8E8B,#9D8E8B,528,282,522,288,528,288
#EA7480,#EA7480,228,270,222,276,228,276
#D9535E,#D9535E,186,294,180,300,186,300
#4F392E,#4F392E,384,348,378,354,384,354
#44231A,#44231A,156,372,162,372,156,378
#807E72,#807E72,186,150,192,150,186,156
#BC927C,#BC927C,126,24,132,24,126,30
#F0F0D,#F0F0D,396,402,390,408,396,408
#151513,#151513,264,444,270,444,264,450
#521817,#521817,312,396,318,396,312,402
#ABA08E,#ABA08E,66,18,72,18,66,24
#20251E,#20251E,72,342,66,348,72,348
#36312B,#36312B,60,300,66,300,60,306
#D1D1C5,#D1D1C5,354,162,360,162,354,168
#B9BBBA,#B9BBBA,510,66,516,66,510,72
#DCD2B7,#DCD2B7,66,120,60,126,66,126
#361715,#361715,396,366,390,372,396,372
#B0A798,#B0A798,132,138,126,144,132,144
#83806F,#83806F,48,174,42,180,48,180
#373830,#373830,36,324,30,330,36,330
#6E5747,#6E5747,360,186,366,186,360,192
#433528,#433528,384,330,378,336,384,336
#5E6762,#5E6762,258,222,264,222,258,228
#755B4C,#755B4C,492,192,486,198,492,198
#31271B,#31271B,414,66,420,66,414,72
#663D39,#663D39,72,288,78,288,72,294
#231F1C,#231F1C,156,360,162,360,156,366
#A0A1A3,#A0A1A3,600,132,594,138,600,138
#A49C87,#A49C87,210,168,204,174,210,174
#6C5042,#6C5042,330,144,324,150,330,150
#4A473E,#4A473E,0,300,6,300,0,306
#C33A41,#C33A41,312,348,318,348,312,354
#675143,#675143,384,150,390,150,384,156
#EBCDA7,#EBCDA7,414,48,420,48,414,54
#834643,#834643,84,270,90,270,84,276
#272924,#272924,420,126,426,126,420,132
#66555F,#66555F,60,186,54,192,60,192
#A8A9AB,#A8A9AB,582,132,576,138,582,138
#675241,#675241,360,198,354,204,360,204
#2F1516,#2F1516,306,414,300,420,306,420
#ADA195,#ADA195,54,42,60,42,54,48
#141615,#141615,426,426,420,432,426,432
#393836,#393836,552,156,558,156,552,162
#969792,#969792,234,324,240,324,234,330
#4F2926,#4F2926,528,180,522,186,528,186
#E75C61,#E75C61,234,306,228,312,234,312
#3F3F37,#3F3F37,18,312,24,312,18,318
#2E2828,#2E2828,354,240,348,246,354,246
#342B24,#342B24,90,324,96,324,90,330
#282722,#282722,390,114,384,120,390,120
#634D40,#634D40,438,216,432,222,438,222
#A0A1A3,#A0A1A3,594,132,600,132,594,138
#644E40,#644E40,468,132,462,138,468,138
#7A5A4B,#7A5A4B,486,348,492,348,486,354
#1A1A18,#1A1A18,204,360,198,366,204,366
#ABADBA,#ABADBA,330,216,336,216,330,222
#8B8D88,#8B8D88,18,198,12,204,18,204
#B3B0AB,#B3B0AB,222,48,228,48,222,54
#B7AB9D,#B7AB9D,0,72,6,72,0,78
#44413A,#44413A,18,306,12,312,18,312
#85877C,#85877C,582,378,588,378,582,384
#545857,#545857,588,252,582,258,588,258
#AE4D47,#AE4D47,240,42,246,42,240,48
#1A1712,#1A1712,510,126,516,126,510,132
#AC5249,#AC5249,216,54,210,60,216,60
#554536,#554536,474,366,480,366,474,372
#755A49,#755A49,354,108,360,108,354,114
#8D837A,#8D837A,498,294,492,300,498,300
#20231C,#20231C,90,354,84,360,90,360
#756A54,#756A54,72,138,78,138,72,144
#797768,#797768,156,132,150,138,156,138
#1C0D10,#1C0D10,414,390,420,390,414,396
#69493A,#69493A,252,390,258,390,252,396
#342D25,#342D25,474,360,468,366,474,366
#ECDBAD,#ECDBAD,366,78,360,84,366,84
#868374,#868374,108,78,102,84,108,84
#706760,#706760,156,42,162,42,156,48
#4E3530,#4E3530,96,342,90,348,96,348
#9C8887,#9C8887,516,282,522,282,516,288
#413E37,#413E37,570,414,564,420,570,420
#CCCDC7,#CCCDC7,396,42,402,42,396,48
#82765C,#82765C,18,132,12,138,18,138
#AB9798,#AB9798,516,270,522,270,516,276
#6C5648,#6C5648,402,198,408,198,402,204
#8B847A,#8B847A,180,120,174,126,180,126
#34352F,#34352F,504,426,510,426,504,432
#422F28,#422F28,516,162,510,168,516,168
#74756F,#74756F,336,12,330,18,336,18
#E6DFD9,#E6DFD9,378,0,384,0,378,6
