#764A5B,#764A5B,372,282,366,288,372,288
#282923,#282923,54,342,48,348,54,348
#A49888,#A49888,84,24,90,24,84,30
#8F908A,#8F908A,6,192,0,198,6,198
#515449,#515449,24,414,18,420,24,420
#615F53,#615F53,294,48,288,54,294,54
#5C5447,#5C5447,372,120,378,120,372,126
#1F1F1F,#1F1F1F,162,420,156,426,162,426
#CA7988,#CA7988,108,240,114,240,108,246
#A3A4A6,#A3A4A6,594,132,588,138,594,138
#5B3F33,#5B3F33,294,336,300,336,294,342
#DA7279,#DA7279,228,270,234,270,228,276
#6D6E66,#6D6E66,594,372,588,378,594,378
#848A98,#848A98,288,240,282,246,288,246
#622A2B,#622A2B,180,318,186,318,180,324
#2E2E26,#2E2E26,96,312,102,312,96,318
#585951,#585951,18,426,12,432,18,432
#605A4E,#605A4E,528,390,534,390,528,396
#7F6451,#7F6451,372,306,378,306,372,312
#777A73,#777A73,300,168,294,174,300,174
#1D1F1E,#1D1F1E,186,426,192,426,186,432
#211E19,#211E19,240,378,246,378,240,384
#3F1516,#3F1516,330,408,336,408,330,414
#4B3D3A,#4B3D3A,126,204,132,204,126,210
#564436,#564436,348,270,342,276,348,276
#9699A2,#9699A2,594,36,600,36,594,42
#A4988C,#A4988C,138,6,144,6,138,12
#433228,#433228,528,198,534,198,528,204
#C9755B,#C9755B,294,294,300,294,294,300
#B4B6B3,#B4B6B3,24,408,30,408,24,414
#79776B,#79776B,156,120,150,126,156,126
#D5C9BD,#D5C9BD,132,0,138,0,132,6
#70777D,#70777D,312,252,318,252,312,258
#5B574C,#5B574C,180,132,186,132,180,138
#D6D4C8,#D6D4C8,342,138,336,144,342,144
#BEC0BF,#BEC0BF,480,36,474,42,480,42
#968C80,#968C80,90,72,84,78,90,78
#888576,#888576,276,102,282,102,276,108
#9A9182,#9A9182,138,102,144,102,138,108
#F89FA5,#F89FA5,132,258,138,258,132,264
#272823,#272823,126,312,132,312,126,318
#9EA09F,#9EA09F,588,198,582,204,588,204
#C2B7A3,#C2B7A3,282,132,288,132,282,138
#6A5542,#6A5542,552,348,546,354,552,354
#CAD7F7,#CAD7F7,180,228,186,228,180,234
#CAABA6,#CAABA6,234,42,240,42,234,48
#ADAFAE,#ADAFAE,582,120,576,126,582,126
#846551,#846551,504,336,498,342,504,342
#322B23,#322B23,426,300,432,300,426,306
#B7B7B9,#B7B7B9,558,42,552,48,558,48
#5B5351,#5B5351,378,228,372,234,378,234
#AF8D72,#AF8D72,336,114,330,120,336,120
#34352F,#34352F,552,420,546,426,552,426
#BDBDBD,#BDBDBD,552,30,546,36,552,36
#B2B0B1,#B2B0B1,504,114,498,120,504,120
#7D7B6F,#7D7B6F,156,126,150,132,156,132
#1E1A17,#1E1A17,402,396,408,396,402,402
#2D2C28,#2D2C28,174,318,168,324,174,324
#4D2420,#4D2420,516,168,510,174,516,174
#604B3A,#604B3A,474,234,480,234,474,240
#424647,#424647,522,336,528,336,522,342
#8D8777,#8D8777,36,102,42,102,36,108
#541A19,#541A19,318,390,324,390,318,396
#917C67,#917C67,18,126,12,132,18,132
#4B372E,#4B372E,54,324,60,324,54,330
#6D4A34,#6D4A34,444,168,450,168,444,174
#D65D66,#D65D66,270,282,276,282,270,288
#656563,#656563,558,444,564,444,558,450
#727A8F,#727A8F,288,258,294,258,288,264
#D8D4D1,#D8D4D1,378,18,372,24,378,24
#88817B,#88817B,102,180,108,180,102,186
#2E2F2A,#2E2F2A,60,444,66,444,60,450
#3C332A,#3C332A,432,294,438,294,432,300
#53544E,#53544E,90,426,96,426,90,432
#D8D6CA,#D8D6CA,348,168,342,174,348,174
#1A1B1D,#1A1B1D,384,444,378,450,384,450
#E77A7F,#E77A7F,240,270,246,270,240,276
#564239,#564239,456,246,462,246,456,252
#611F20,#611F20,186,384,192,384,186,390
#45403A,#45403A,246,150,240,156,246,156
#B3B2AD,#B3B2AD,456,84,450,90,456,90
#343432,#343432,186,366,180,372,186,372
#332A23,#332A23,438,18,432,24,438,24
#AEAFB1,#AEAFB1,582,66,588,66,582,72
#A13034,#A13034,210,324,216,324,210,330
#7B5747,#7B5747,438,222,444,222,438,228
#FFFDFE,#FFFDFE,144,288,150,288,144,294
#ACADAF,#ACADAF,600,120,594,126,600,126
#3E3F3A,#3E3F3A,24,312,30,312,24,318
#FFFFFA,#FFFFFA,156,138,162,138,156,144
#551718,#551718,342,372,336,378,342,378
#564639,#564639,438,36,444,36,438,42
#242422,#242422,198,354,192,360,198,360
#544D45,#544D45,456,78,450,84,456,84
#A05A50,#A05A50,234,24,240,24,234,30
#BEBCBD,#BEBCBD,504,42,510,42,504,48
#A8A8A6,#A8A8A6,552,162,558,162,552,168
#2C281F,#2C281F,456,60,462,60,456,66
#62635D,#62635D,312,54,318,54,312,60
#89A5B1,#89A5B1,78,198,84,198,78,204
#D15764,#D15764,228,276,222,282,228,282
#DD4750,#DD4750,288,312,282,318,288,318
#735948,#735948,486,234,480,240,486,240
#9C9582,#9C9582,204,192,198,198,204,198
#4A4B45,#4A4B45,42,282,48,282,42,288
#8B8175,#8B8175,30,126,24,132,30,132
#655244,#655244,438,312,444,312,438,318
#6B685F,#6B685F,198,192,192,198,198,198
#1B1B19,#1B1B19,198,354,204,354,198,360
#57433C,#57433C,30,312,36,312,30,318
#B7BABF,#B7BABF,180,234,174,240,180,240
#625950,#625950,168,84,174,84,168,90
#675143,#675143,426,96,420,102,426,102
#716454,#716454,168,42,174,42,168,48
#46382F,#46382F,534,282,540,282,534,288
#E1D7BE,#E1D7BE,60,144,54,150,60,150
#A6684F,#A6684F,366,372,360,378,366,378
#90949F,#90949F,570,6,564,12,570,12
#E9606A,#E9606A,210,300,216,300,210,306
#68574D,#68574D,558,306,552,312,558,312
#906049,#906049,240,402,234,408,240,408
#484438,#484438,402,96,396,102,402,102
#49352C,#49352C,540,348,546,348,540,354
#955D42,#955D42,354,396,360,396,354,402
#262722,#262722,150,336,156,336,150,342
#32281E,#32281E,432,114,426,120,432,120
#77787D,#77787D,198,222,204,222,198,228
#34362B,#34362B,18,366,24,366,18,372
#E0B487,#E0B487,366,150,372,150,366,156
#765B4A,#765B4A,462,132,456,138,462,138
#191917,#191917,240,372,234,378,240,378
#D4D3CF,#D4D3CF,396,42,390,48,396,48
#765C4D,#765C4D,504,240,498,246,504,246
#A4988A,#A4988A,60,36,54,42,60,42
#BCB5A3,#BCB5A3,42,0,36,6,42,6
#503627,#503627,450,162,444,168,450,168
#6B5D50,#6B5D50,450,120,456,120,450,126
#38201E,#38201E,360,258,354,264,360,264
#D4D3D8,#D4D3D8,228,228,234,228,228,234
#4B1B11,#4B1B11,258,408,264,408,258,414
#51564F,#51564F,348,66,342,72,348,72
#64655D,#64655D,282,180,288,180,282,186
#424848,#424848,588,330,582,336,588,336
#A2A4A3,#A2A4A3,582,204,576,210,582,210
#938383,#938383,480,288,486,288,480,294
#797768,#797768,150,132,156,132,150,138
#8B877C,#8B877C,198,126,192,132,198,132
#A5A5A3,#A5A5A3,558,168,564,168,558,174
#11110F,#11110F,426,390,432,390,426,396
#5C453D,#5C453D,324,312,318,318,324,318
#C1B8B1,#C1B8B1,420,12,426,12,420,18
#76745D,#76745D,42,186,36,192,42,192
#493B32,#493B32,420,336,426,336,420,342
#242625,#242625,384,408,378,414,384,414
#FAE4BD,#FAE4BD,348,198,342,204,348,204
#9D9483,#9D9483,30,42,36,42,30,48
#4C4E43,#4C4E43,78,420,72,426,78,426
#383732,#383732,546,414,552,414,546,420
#181816,#181816,168,396,174,396,168,402
#615545,#615545,378,102,384,102,378,108
#867E71,#867E71,30,126,36,126,30,132
#73675B,#73675B,0,150,6,150,0,156
#85806D,#85806D,180,150,186,150,180,156
#591E22,#591E22,216,384,210,390,216,390
#695345,#695345,390,156,384,162,390,162
#33342C,#33342C,12,330,6,336,12,336
#10100E,#10100E,276,426,270,432,276,432
#A89C8C,#A89C8C,66,42,60,48,66,48
#A1A19F,#A1A19F,300,360,294,366,300,366
#292B26,#292B26,72,378,66,384,72,384
#51524A,#51524A,12,426,6,432,12,432
#353D40,#353D40,306,252,312,252,306,258
#574D43,#574D43,276,330,270,336,276,336
#4E382D,#4E382D,408,270,402,276,408,276
#A28E8D,#A28E8D,504,252,510,252,504,258
#B3B4B6,#B3B4B6,522,78,528,78,522,84
#795845,#795845,474,384,468,390,474,390
#B2B2B4,#B2B2B4,600,108,594,114,600,114
#423223,#423223,258,372,252,378,258,378
#AEBBB4,#AEBBB4,204,54,210,54,204,60
#6F5546,#6F5546,540,198,534,204,540,204
#3C352D,#3C352D,498,360,504,360,498,366
#856151,#856151,534,138,528,144,534,144
#CD4752,#CD4752,270,294,264,300,270,300
#D6D5D3,#D6D5D3,390,18,396,18,390,24
#B3B4B6,#B3B4B6,546,48,552,48,546,54
#1C1E1B,#1C1E1B,174,420,168,426,174,426
#8D8E90,#8D8E90,90,420,96,420,90,426
#755C57,#755C57,168,60,162,66,168,66
#ACADAF,#ACADAF,582,126,576,132,582,132
#F0CFA6,#F0CFA6,318,192,324,192,318,198
#53201F,#53201F,240,330,246,330,240,336
#634A34,#634A34,432,168,438,168,432,174
#504543,#504543,384,252,390,252,384,258
#82634F,#82634F,552,330,546,336,552,336
#F1DDAA,#F1DDAA,354,90,348,96,354,96
#604D46,#604D46,54,258,60,258,54,264
#75604F,#75604F,546,252,540,258,546,258
#4F5247,#4F5247,342,18,336,24,342,24
#B2B3B5,#B2B3B5,570,48,564,54,570,54
#584235,#584235,246,414,240,420,246,420
#996C71,#996C71,426,258,420,264,426,264
#373735,#373735,414,426,408,432,414,432
#8B8177,#8B8177,120,66,126,66,120,72
#785339,#785339,450,384,444,390,450,390
#464D46,#464D46,318,180,312,186,318,186
#151515,#151515,408,426,402,432,408,432
#8A8B86,#8A8B86,162,168,168,168,162,174
#494949,#494949,366,270,360,276,366,276
#745A49,#745A49,498,318,492,324,498,324
#BF948B,#BF948B,342,234,348,234,342,240
#C24749,#C24749,372,306,366,312,372,312
#694C3C,#694C3C,444,228,438,234,444,234
#C1C1BF,#C1C1BF,492,72,498,72,492,78
#B8AA9F,#B8AA9F,198,18,204,18,198,24
#817B6F,#817B6F,144,138,138,144,144,144
#755848,#755848,486,390,480,396,486,396
#C8BCA6,#C8BCA6,60,78,54,84,60,84
#2D2822,#2D2822,456,18,450,24,456,24
#10100E,#10100E,402,408,408,408,402,414
#85847F,#85847F,228,180,222,186,228,186
#A73944,#A73944,132,294,138,294,132,300
#908279,#908279,6,126,12,126,6,132
#987154,#987154,246,372,252,372,246,378
#762428,#762428,240,354,246,354,240,360
#20211C,#20211C,84,366,90,366,84,372
#4F4335,#4F4335,366,102,372,102,366,108
#4A4740,#4A4740,582,408,576,414,582,414
#2F2E2A,#2F2E2A,558,114,564,114,558,120
#978B7D,#978B7D,6,66,12,66,6,72
#B1B6BA,#B1B6BA,156,234,150,240,156,240
#8E8478,#8E8478,108,60,102,66,108,66
#6A6C67,#6A6C67,78,408,72,414,78,414
#DBD1B6,#DBD1B6,48,138,42,144,48,144
#22241F,#22241F,432,126,426,132,432,132
#B5B6B8,#B5B6B8,516,66,522,66,516,72
#171C18,#171C18,402,378,408,378,402,384
#684B3B,#684B3B,276,366,270,372,276,372
#F0FBFF,#F0FBFF,246,240,252,240,246,246
#A49B8C,#A49B8C,264,150,270,150,264,156
#2B2C24,#2B2C24,42,336,36,342,42,342
#F7FEFF,#F7FEFF,222,234,228,234,222,240
#541A19,#541A19,318,402,312,408,318,408
#424848,#424848,558,336,552,342,558,342
#342019,#342019,468,156,462,162,468,162
#3E3F3A,#3E3F3A,558,264,564,264,558,270
#534B48,#534B48,408,216,414,216,408,222
#7F807A,#7F807A,12,222,6,228,12,228
#882E30,#882E30,228,336,234,336,228,342
#9B9D9C,#9B9D9C,588,192,582,198,588,198
#C7BBAB,#C7BBAB,18,0,12,6,18,6
#60554F,#60554F,234,6,228,12,234,12
#836654,#836654,504,324,510,324,504,330
#7A4340,#7A4340,78,270,84,270,78,276
#847E72,#847E72,108,114,102,120,108,120
#826651,#826651,486,216,492,216,486,222
#141412,#141412,198,414,192,420,198,420
#494F4D,#494F4D,564,300,558,306,564,306
#AFA599,#AFA599,264,102,258,108,264,108
#635356,#635356,288,282,294,282,288,288
#938B7E,#938B7E,84,156,78,162,84,162
#625D57,#625D57,114,174,108,180,114,180
#6F594B,#6F594B,396,150,402,150,396,156
#241512,#241512,390,384,384,390,390,390
#3B3B39,#3B3B39,156,348,162,348,156,354
#78614F,#78614F,540,240,534,246,540,246
#1A1A18,#1A1A18,144,390,150,390,144,396
#B4B5B9,#B4B5B9,480,24,486,24,480,30
#353630,#353630,72,444,78,444,72,450
#191D1E,#191D1E,132,372,138,372,132,378
#593F30,#593F30,366,408,360,414,366,414
#59493A,#59493A,456,366,450,372,456,372
#E6DFC5,#E6DFC5,60,114,66,114,60,120
#C43940,#C43940,372,318,366,324,372,324
#583934,#583934,78,282,72,288,78,288
#555555,#555555,342,72,348,72,342,78
#726E65,#726E65,180,144,186,144,180,150
#191917,#191917,306,384,300,390,306,390
#A5A49F,#A5A49F,558,198,552,204,558,204
#454D4F,#454D4F,570,246,564,252,570,252
#614539,#614539,312,324,318,324,312,330
#B6B8B7,#B6B8B7,534,54,540,54,534,60
#6F6765,#6F6765,66,246,60,252,66,252
#5D6055,#5D6055,60,408,54,414,60,414
#6D4440,#6D4440,84,312,90,312,84,318
#534A45,#534A45,252,48,258,48,252,54
#5E4938,#5E4938,336,192,330,198,336,198
#94939B,#94939B,252,252,246,258,252,258
#E1818F,#E1818F,180,252,186,252,180,258
#63645E,#63645E,216,216,222,216,216,222
#848075,#848075,174,150,168,156,174,156
#D4AC7B,#D4AC7B,300,288,306,288,300,294
#333331,#333331,210,372,204,378,210,378
#5A4F4B,#5A4F4B,198,90,192,96,198,96
#53575A,#53575A,570,300,576,300,570,306
#FDFDFD,#FDFDFD,0,96,6,96,0,102
#23241E,#23241E,54,354,60,354,54,360
#514843,#514843,222,108,216,114,222,114
#56574F,#56574F,300,174,306,174,300,180
#6C252D,#6C252D,216,384,222,384,216,390
#9C9E99,#9C9E99,36,192,30,198,36,198
#B9BCB5,#B9BCB5,0,378,6,378,0,384
#CFC2B1,#CFC2B1,120,12,114,18,120,18
#64645A,#64645A,324,12,318,18,324,18
#232321,#232321,168,444,174,444,168,450
#63635B,#63635B,312,54,306,60,312,60
#DE6958,#DE6958,186,6,192,6,186,12
#616254,#616254,252,114,258,114,252,120
#675E55,#675E55,150,66,156,66,150,72
#E65D64,#E65D64,222,300,216,306,222,306
#343331,#343331,180,366,174,372,180,372
#CFC0A9,#CFC0A9,42,48,48,48,42,54
#69493A,#69493A,432,66,426,72,432,72
#5C4631,#5C4631,372,396,378,396,372,402
#3F2622,#3F2622,456,168,462,168,456,174
#281214,#281214,396,354,402,354,396,360
#E1F2FA,#E1F2FA,264,240,258,246,264,246
#7C604B,#7C604B,492,210,498,210,492,216
#656658,#656658,210,120,216,120,210,126
#A3A7A8,#A3A7A8,504,30,510,30,504,36
#B8B8BA,#B8B8BA,468,66,462,72,468,72
#181712,#181712,546,96,552,96,546,102
#4C4E4D,#4C4E4D,126,444,132,444,126,450
#D48392,#D48392,150,246,156,246,150,252
#5F615E,#5F615E,588,246,594,246,588,252
#332B20,#332B20,408,354,414,354,408,360
#6C5243,#6C5243,498,312,492,318,498,318
#CEC3AD,#CEC3AD,276,126,270,132,276,132
#6D5F54,#6D5F54,516,246,522,246,516,252
#853538,#853538,222,330,216,336,222,336
#41342B,#41342B,228,438,234,438,228,444
#6D6B5F,#6D6B5F,288,96,282,102,288,102
#5B3F33,#5B3F33,294,330,300,330,294,336
#C9CAC5,#C9CAC5,504,42,498,48,504,48
#AFA792,#AFA792,138,180,132,186,138,186
#BBB9BA,#BBB9BA,522,30,528,30,522,36
#645343,#645343,432,342,438,342,432,348
#595965,#595965,24,186,18,192,24,192
#5F564D,#5F564D,234,0,240,0,234,6
#5F4747,#5F4747,438,228,432,234,438,234
#7D7A71,#7D7A71,198,150,204,150,198,156
#595248,#595248,240,54,246,54,240,60
#5D5D5D,#5D5D5D,138,438,144,438,138,444
#DEDED2,#DEDED2,342,96,336,102,342,102
#6F5A49,#6F5A49,414,174,420,174,414,180
#D56C7B,#D56C7B,180,258,186,258,180,264
#7D7B6F,#7D7B6F,234,138,228,144,234,144
#DAD6D3,#DAD6D3,384,12,378,18,384,18
#571614,#571614,222,378,216,384,222,384
#8A8275,#8A8275,114,78,120,78,114,84
#4D5045,#4D5045,366,18,360,24,366,24
#343432,#343432,192,354,186,360,192,360
#AD8B68,#AD8B68,78,246,84,246,78,252
#654F41,#654F41,378,168,384,168,378,174
#6E6B66,#6E6B66,168,186,174,186,168,192
#61625D,#61625D,228,204,234,204,228,210
#59504B,#59504B,204,90,198,96,204,96
#C0C1BC,#C0C1BC,186,306,180,312,186,312
#181816,#181816,168,408,174,408,168,414
#6B5645,#6B5645,390,156,396,156,390,162
#C8C2B6,#C8C2B6,126,144,120,150,126,150
#705949,#705949,504,372,498,378,504,378
#68483D,#68483D,354,426,360,426,354,432
#ABACAE,#ABACAE,582,102,588,102,582,108
#D0CDC6,#D0CDC6,456,18,462,18,456,24
#31312F,#31312F,174,336,168,342,174,342
#2E2F27,#2E2F27,0,342,6,342,0,348
#191917,#191917,138,384,144,384,138,390
#5F5148,#5F5148,480,426,474,432,480,432
#888075,#888075,192,132,186,138,192,138
#CAABA6,#CAABA6,240,42,234,48,240,48
#544B46,#544B46,216,102,210,108,216,108
#515554,#515554,588,240,582,246,588,246
#302923,#302923,456,42,462,42,456,48
#6E5244,#6E5244,336,186,330,192,336,192
#7A5D4B,#7A5D4B,426,366,420,372,426,372
#986A52,#986A52,474,396,468,402,474,402
#949597,#949597,594,234,600,234,594,240
#705645,#705645,468,300,462,306,468,306
#5F483A,#5F483A,324,294,318,300,324,300
#705544,#705544,330,168,324,174,330,174
#675E55,#675E55,144,96,150,96,144,102
#311C19,#311C19,198,384,204,384,198,390
#4B4640,#4B4640,6,282,12,282,6,288
#F0E8DB,#F0E8DB,276,60,270,66,276,66
#444645,#444645,402,432,396,438,402,438
#B6AB95,#B6AB95,294,114,288,120,294,120
#DCD1BD,#DCD1BD,60,114,54,120,60,120
#DDCDD0,#DDCDD0,108,270,102,276,108,276
#7C7970,#7C7970,204,132,198,138,204,138
#91897C,#91897C,84,78,90,78,84,84
#8D8382,#8D8382,468,294,474,294,468,300
#282722,#282722,396,84,390,90,396,90
#20221D,#20221D,444,132,438,138,444,138
