#B18970,#B18970,180,270,174,276,180,276
#491517,#491517,330,402,324,408,330,408
#C83339,#C83339,366,330,360,336,366,336
#4C4940,#4C4940,492,138,486,144,492,144
#645B52,#645B52,150,78,144,84,150,84
#A35A51,#A35A51,222,30,216,36,222,36
#261E1C,#261E1C,444,108,450,108,444,114
#F0C2CC,#F0C2CC,138,222,132,228,138,228
#44413C,#44413C,588,408,582,414,588,414
#A15231,#A15231,318,336,312,342,318,342
#3E3F3A,#3E3F3A,120,324,126,324,120,330
#87877F,#87877F,288,192,294,192,288,198
#B9BBC7,#B9BBC7,132,228,138,228,132,234
#202221,#202221,198,432,192,438,198,438
#CD4B57,#CD4B57,264,288,270,288,264,294
#966362,#966362,360,210,366,210,360,216
#7C6150,#7C6150,516,312,510,318,516,318
#574738,#574738,480,348,486,348,480,354
#95897B,#95897B,30,54,24,60,30,60
#FFFFFF,#FFFFFF,42,102,48,102,42,108
#614738,#614738,300,342,294,348,300,348
#A8AAA7,#A8AAA7,564,180,558,186,564,186
#CA8679,#CA8679,168,6,162,12,168,12
#D7BA98,#D7BA98,330,222,336,222,330,228
#32241B,#32241B,504,162,510,162,504,168
#676559,#676559,288,78,282,84,288,84
#131512,#131512,372,438,378,438,372,444
#434844,#434844,588,324,582,330,588,330
#1E1010,#1E1010,414,390,408,396,414,396
#151513,#151513,210,402,216,402,210,408
#E55E64,#E55E64,240,306,234,312,240,312
#FE786F,#FE786F,168,0,162,6,168,6
#EFD9EE,#EFD9EE,150,210,144,216,150,216
#5D6162,#5D6162,576,390,582,390,576,396
#DF5258,#DF5258,258,312,252,318,258,318
#AEAFB1,#AEAFB1,522,24,516,30,522,30
#7F604C,#7F604C,474,378,468,384,474,384
#131416,#131416,402,372,396,378,402,378
#9D9483,#9D9483,54,54,48,60,54,60
#3D1314,#3D1314,336,414,330,420,336,420
#2E2E2C,#2E2E2C,588,438,594,438,588,444
#ECE8E9,#ECE8E9,198,246,204,246,198,252
