#DD4750,#DD4750,282,312,288,312,282,318
#FFFEFF,#FFFEFF,24,78,18,84,24,84
#87888C,#87888C,594,246,600,246,594,252
#D7B180,#D7B180,294,306,300,306,294,312
#BCB0A4,#BCB0A4,6,42,0,48,6,48
#ACAEAD,#ACAEAD,114,444,108,450,114,450
#C66F80,#C66F80,114,246,120,246,114,252
#514338,#514338,444,294,438,300,444,300
#505656,#505656,594,360,588,366,594,366
#1A1B1D,#1A1B1D,378,444,384,444,378,450
#514C48,#514C48,18,258,24,258,18,264
#6A483C,#6A483C,258,384,264,384,258,390
#2C2E29,#2C2E29,60,372,54,378,60,378
#A8A8B0,#A8A8B0,468,0,462,6,468,6
#F8FDF9,#F8FDF9,228,234,234,234,228,240
#584646,#584646,234,60,228,66,234,66
#272924,#272924,486,444,480,450,486,450
#3F3430,#3F3430,258,270,252,276,258,276
#E44E5A,#E44E5A,228,288,234,288,228,294
#EFEBEA,#EFEBEA,234,252,228,258,234,258
#CA4848,#CA4848,258,324,264,324,258,330
#48372D,#48372D,306,294,312,294,306,300
#42433E,#42433E,132,330,126,336,132,336
#767364,#767364,282,102,288,102,282,108
#5E534F,#5E534F,168,102,174,102,168,108
#63503F,#63503F,468,204,474,204,468,210
#838582,#838582,66,222,72,222,66,228
#413C36,#413C36,18,312,12,318,18,318
#8F8B7F,#8F8B7F,78,162,84,162,78,168
#746C61,#746C61,150,36,144,42,150,42
#E2DFD6,#E2DFD6,372,36,378,36,372,42
#855740,#855740,354,408,360,408,354,414
#5C5040,#5C5040,348,126,342,132,348,132
#BFC0BB,#BFC0BB,444,180,450,180,444,186
#9195A0,#9195A0,582,36,588,36,582,42
#5F4E3E,#5F4E3E,378,180,384,180,378,186
#F0F0D,#F0F0D,384,438,378,444,384,444
#10100E,#10100E,426,396,420,402,426,402
#211E19,#211E19,444,96,438,102,444,102
#605A4E,#605A4E,534,390,528,396,534,396
#4B372C,#4B372C,300,318,294,324,300,324
#FEFFFF,#FEFFFF,6,102,0,108,6,108
#524940,#524940,264,48,258,54,264,54
#2B2622,#2B2622,516,138,522,138,516,144
#5C5F54,#5C5F54,6,402,0,408,6,408
#966362,#966362,366,210,360,216,366,216
#BFC3CE,#BFC3CE,276,228,270,234,276,234
#AE6F77,#AE6F77,360,240,366,240,360,246
#D0D0CE,#D0D0CE,378,24,372,30,378,30
#8D8D85,#8D8D85,186,168,180,174,186,174
#292B28,#292B28,132,432,126,438,132,438
#453528,#453528,390,360,384,366,390,366
#796252,#796252,492,372,486,378,492,378
#AAABAD,#AAABAD,600,102,594,108,600,108
#6C6962,#6C6962,270,180,264,186,270,186
#5B524D,#5B524D,180,108,174,114,180,114
#5F6156,#5F6156,30,438,36,438,30,444
#775D4C,#775D4C,474,414,480,414,474,420
#CF8699,#CF8699,120,234,114,240,120,240
#454641,#454641,132,324,126,330,132,330
#554C47,#554C47,216,96,210,102,216,102
#949693,#949693,48,198,42,204,48,204
#CECFCA,#CECFCA,480,72,474,78,480,78
#2A251F,#2A251F,414,144,408,150,414,150
#865D49,#865D49,276,342,270,348,276,348
#BEBEC0,#BEBEC0,474,36,468,42,474,42
#584536,#584536,486,318,492,318,486,324
#161C1A,#161C1A,450,144,444,150,450,150
#562226,#562226,408,324,414,324,408,330
#787E9E,#787E9E,306,258,300,264,306,264
#5D5D53,#5D5D53,552,354,546,360,552,360
#9098AB,#9098AB,246,246,252,246,246,252
#52554A,#52554A,336,30,342,30,336,36
#C9C8D0,#C9C8D0,330,222,324,228,330,228
#554432,#554432,522,138,528,138,522,144
#B2B2B2,#B2B2B2,570,102,576,102,570,108
#673431,#673431,84,330,78,336,84,336
#2B241E,#2B241E,456,54,450,60,456,60
#D5E6FA,#D5E6FA,174,222,180,222,174,228
#54574C,#54574C,336,66,330,72,336,72
#CBCBCB,#CBCBCB,402,24,396,30,402,30
#545047,#545047,132,198,138,198,132,204
#C2C1BF,#C2C1BF,462,60,468,60,462,66
#646658,#646658,306,84,300,90,306,90
#DF4C56,#DF4C56,204,300,210,300,204,306
#9C8484,#9C8484,426,258,432,258,426,264
#8B6852,#8B6852,432,372,438,372,432,378
#CC4049,#CC4049,276,300,270,306,276,306
#705343,#705343,480,216,474,222,480,222
#81624D,#81624D,486,210,480,216,486,216
#88898E,#88898E,198,222,192,228,198,228
#1F1812,#1F1812,522,354,528,354,522,360
#7E786C,#7E786C,204,156,198,162,204,162
#1D1415,#1D1415,414,402,408,408,414,408
#792022,#792022,270,402,276,402,270,408
#8A8275,#8A8275,96,78,102,78,96,84
#735C4C,#735C4C,474,372,480,372,474,378
#585953,#585953,18,396,12,402,18,402
#A0A1A3,#A0A1A3,594,198,600,198,594,204
#AAABAD,#AAABAD,600,60,594,66,600,66
#888A85,#888A85,12,198,6,204,12,204
#131311,#131311,294,378,288,384,294,384
#C4C2B6,#C4C2B6,240,186,234,192,240,192
#FCFCF2,#FCFCF2,282,30,276,36,282,36
#E7E5CE,#E7E5CE,282,114,276,120,282,120
#83333C,#83333C,372,294,366,300,372,300
#7F6858,#7F6858,540,216,546,216,540,222
#B9B7B8,#B9B7B8,564,84,570,84,564,90
#63655A,#63655A,300,108,306,108,300,114
#2B2F2E,#2B2F2E,594,282,588,288,594,288
#7A5E49,#7A5E49,504,210,498,216,504,216
#DAD7D0,#DAD7D0,360,72,366,72,360,78
#7E7B72,#7E7B72,162,162,168,162,162,168
#9EA8A0,#9EA8A0,444,210,438,216,444,216
#59473B,#59473B,342,258,348,258,342,264
#413E37,#413E37,600,414,594,420,600,420
#5E6156,#5E6156,324,42,330,42,324,48
#413E37,#413E37,564,414,570,414,564,420
#171916,#171916,396,366,402,366,396,372
#656559,#656559,234,120,240,120,234,126
#181816,#181816,168,414,174,414,168,420
#876C57,#876C57,546,180,540,186,546,186
#2C2D25,#2C2D25,18,342,12,348,18,348
#59473B,#59473B,330,276,324,282,330,282
#31322C,#31322C,588,432,594,432,588,438
#7F756B,#7F756B,36,138,30,144,36,144
#6F665F,#6F665F,126,84,132,84,126,90
#FCF6EA,#FCF6EA,282,42,276,48,282,48
#ABACAE,#ABACAE,534,66,540,66,534,72
#5E5A4F,#5E5A4F,168,108,162,114,168,114
#2F302B,#2F302B,102,318,108,318,102,324
#FDFEDF,#FDFEDF,324,114,330,114,324,120
#E14E56,#E14E56,288,306,282,312,288,312
#422F29,#422F29,120,354,126,354,120,360
#D6D3CC,#D6D3CC,354,126,348,132,354,132
#4C4E43,#4C4E43,72,420,78,420,72,426
#1F211E,#1F211E,222,342,228,342,222,348
