#1F1E1C,#1F1E1C,444,114,450,114,444,120
#644D3F,#644D3F,372,204,366,210,372,210
#5B4538,#5B4538,342,282,336,288,342,288
#68DD6B,#68DD6B,156,258,150,264,156,264
#262521,#262521,414,42,408,48,414,48
#7A776E,#7A776E,18,246,24,246,18,252
#5F5B50,#5F5B50,12,180,6,186,12,186
#A3A5A2,#A3A5A2,24,396,30,396,24,402
#BFB3A5,#BFB3A5,132,60,126,66,132,66
#45342A,#45342A,408,60,414,60,408,66
#3C1F1B,#3C1F1B,498,258,492,264,498,264
#434037,#434037,0,360,6,360,0,366
#AA7154,#AA7154,372,342,366,348,372,348
#9F3E49,#9F3E49,342,294,348,294,342,300
#5D4C3C,#5D4C3C,540,120,534,126,540,126
#545047,#545047,138,198,132,204,138,204
#B2794E,#B2794E,330,336,324,342,330,342
#A2A2A2,#A2A2A2,588,180,594,180,588,186
#F7F8D9,#F7F8D9,342,102,336,108,342,108
#AE4D47,#AE4D47,246,42,240,48,246,48
#A4A6A5,#A4A6A5,570,186,576,186,570,192
#4D372A,#4D372A,372,360,378,360,372,366
#80827F,#80827F,48,222,42,228,48,228
#5B5D52,#5B5D52,72,438,78,438,72,444
#F2606D,#F2606D,246,288,240,294,246,294
#9F958B,#9F958B,138,6,132,12,138,12
#5F4E47,#5F4E47,246,36,240,42,246,42
#2F302B,#2F302B,144,354,150,354,144,360
#111111,#111111,294,438,288,444,294,444
#DDD6BC,#DDD6BC,60,102,54,108,60,108
#61625A,#61625A,570,360,576,360,570,366
#67523F,#67523F,492,390,486,396,492,396
#7F5652,#7F5652,222,78,228,78,222,84
#D0525D,#D0525D,192,306,198,306,192,312
#665140,#665140,504,372,510,372,504,378
#C0B5A1,#C0B5A1,66,72,72,72,66,78
#6A4936,#6A4936,540,288,546,288,540,294
#C38B68,#C38B68,366,330,372,330,366,336
#EC9095,#EC9095,246,276,252,276,246,282
#6B6358,#6B6358,156,54,150,60,156,60
#9B9283,#9B9283,90,48,96,48,90,54
#E4898E,#E4898E,246,270,252,270,246,276
#501916,#501916,324,348,330,348,324,354
#B8BFB8,#B8BFB8,480,312,474,318,480,318
#B4A898,#B4A898,84,30,78,36,84,36
#705341,#705341,330,162,324,168,330,168
#715C4B,#715C4B,534,258,540,258,534,264
#614C3B,#614C3B,408,288,414,288,408,294
#C7383A,#C7383A,354,336,360,336,354,342
#998481,#998481,510,288,504,294,510,294
#272924,#272924,414,132,408,138,414,138
#BE8483,#BE8483,396,246,390,252,396,252
#847675,#847675,456,276,450,282,456,282
#725744,#725744,510,216,504,222,510,222
#524034,#524034,312,294,318,294,312,300
#2D2E28,#2D2E28,30,354,36,354,30,360
#BF815C,#BF815C,372,330,378,330,372,336
#2C251D,#2C251D,414,84,408,90,414,90
#9EA09F,#9EA09F,552,240,558,240,552,246
#2C2D27,#2C2D27,516,426,522,426,516,432
#906147,#906147,366,360,372,360,366,366
#67181D,#67181D,294,420,300,420,294,426
#2C2D25,#2C2D25,30,336,36,336,30,342
#5C5449,#5C5449,240,96,246,96,240,102
#9E8974,#9E8974,360,180,354,186,360,186
#9FA09B,#9FA09B,6,186,12,186,6,192
#B62F35,#B62F35,348,306,342,312,348,312
#FEFCEF,#FEFCEF,12,96,6,102,12,102
#474948,#474948,534,324,528,330,534,330
#998E7C,#998E7C,30,36,24,42,30,42
#1E1E1C,#1E1E1C,300,390,294,396,300,396
#514843,#514843,234,102,228,108,234,108
#B04C4A,#B04C4A,234,30,240,30,234,36
#534A43,#534A43,198,120,204,120,198,126
#1E201D,#1E201D,444,120,438,126,444,126
#E45D64,#E45D64,252,300,258,300,252,306
#40362C,#40362C,414,78,420,78,414,84
#B7B7B7,#B7B7B7,30,156,24,162,30,162
#B06369,#B06369,372,240,378,240,372,246
#614C39,#614C39,468,228,462,234,468,234
#82837D,#82837D,72,204,78,204,72,210
#525449,#525449,36,384,30,390,36,390
#64655F,#64655F,30,234,24,240,30,240
#73736B,#73736B,24,240,18,246,24,246
#21231E,#21231E,480,438,486,438,480,444
#9E9586,#9E9586,102,6,108,6,102,12
#794D5E,#794D5E,360,282,354,288,360,288
#141311,#141311,276,378,282,378,276,384
#8D8676,#8D8676,138,114,144,114,138,120
#3F3E39,#3F3E39,540,408,546,408,540,414
#1F1E1C,#1F1E1C,450,114,444,120,450,120
#928984,#928984,444,288,438,294,444,294
#8A8275,#8A8275,102,78,96,84,102,84
#767970,#767970,330,36,324,42,330,42
#454641,#454641,126,324,132,324,126,330
#624F41,#624F41,510,342,504,348,510,348
#908778,#908778,138,144,132,150,138,150
#6C5948,#6C5948,534,222,540,222,534,228
#2E2F31,#2E2F31,420,216,426,216,420,222
#494843,#494843,30,282,36,282,30,288
#B6B2AF,#B6B2AF,546,78,540,84,546,84
#BFBFBF,#BFBFBF,522,48,516,54,522,54
#DBD9CC,#DBD9CC,348,162,342,168,348,168
#5D4B3F,#5D4B3F,354,114,360,114,354,120
#7C777D,#7C777D,66,192,60,198,66,198
#92959C,#92959C,588,48,594,48,588,54
#757366,#757366,240,108,246,108,240,114
#A8A38D,#A8A38D,576,318,570,324,576,324
#615E57,#615E57,270,204,264,210,270,210
#9F3738,#9F3738,288,402,294,402,288,408
#564D48,#564D48,6,246,12,246,6,252
#503929,#503929,360,402,366,402,360,408
#EC9095,#EC9095,252,276,246,282,252,282
#6A675E,#6A675E,12,246,18,246,12,252
#78272D,#78272D,252,354,258,354,252,360
#745E50,#745E50,414,156,420,156,414,162
#9E9282,#9E9282,60,18,54,24,60,24
#685D4B,#685D4B,540,150,534,156,540,156
#927D68,#927D68,6,138,12,138,6,144
#BBBCBE,#BBBCBE,480,36,486,36,480,42
#856652,#856652,504,330,498,336,504,336
#D0DBEF,#D0DBEF,156,210,162,210,156,216
#79573C,#79573C,336,210,342,210,336,216
#6C6763,#6C6763,534,264,528,270,534,270
#F0C3E0,#F0C3E0,144,216,150,216,144,222
#D95668,#D95668,144,270,138,276,144,276
#868EA5,#868EA5,294,252,288,258,294,258
#54483C,#54483C,48,300,54,300,48,306
#B85C51,#B85C51,204,0,210,0,204,6
#2A1212,#2A1212,402,348,396,354,402,354
#57574D,#57574D,30,390,36,390,30,396
#D5E0F4,#D5E0F4,282,246,288,246,282,252
#A17A5D,#A17A5D,444,150,450,150,444,156
#3A3B33,#3A3B33,570,432,576,432,570,438
#7A766B,#7A766B,150,138,144,144,150,144
#9F7B5B,#9F7B5B,420,24,414,30,420,30
#77604E,#77604E,468,372,462,378,468,378
#EDF2EB,#EDF2EB,168,12,174,12,168,18
#826857,#826857,540,204,546,204,540,210
#BDBEB9,#BDBEB9,486,114,480,120,486,120
#88302F,#88302F,108,354,102,360,108,360
#37141A,#37141A,270,402,264,408,270,408
#DF5B68,#DF5B68,222,276,216,282,222,282
#70716C,#70716C,330,30,324,36,330,36
#E5B5CB,#E5B5CB,114,216,120,216,114,222
#B3B3B5,#B3B3B5,522,30,516,36,522,36
#181816,#181816,162,384,168,384,162,390
#7B6655,#7B6655,534,246,540,246,534,252
#8F918C,#8F918C,24,198,18,204,24,204
#8A8581,#8A8581,528,270,534,270,528,276
#26271F,#26271F,54,348,48,354,54,354
#201816,#201816,438,264,444,264,438,270
#20221D,#20221D,90,378,84,384,90,384
#181816,#181816,576,444,570,450,576,450
#685546,#685546,408,198,414,198,408,204
#787876,#787876,564,318,558,324,564,324
#6C5245,#6C5245,354,102,348,108,354,108
#4E4B44,#4E4B44,516,390,522,390,516,396
#AE805E,#AE805E,366,156,372,156,366,162
#606760,#606760,318,198,324,198,318,204
#7E7A6E,#7E7A6E,108,120,102,126,108,126
#968F87,#968F87,42,84,48,84,42,90
#755F51,#755F51,402,156,408,156,402,162
#7B393D,#7B393D,372,288,378,288,372,294
#878378,#878378,312,12,306,18,312,18
#B6B7B9,#B6B7B9,504,60,510,60,504,66
#5B4839,#5B4839,300,312,294,318,300,318
#656559,#656559,228,132,222,138,228,138
#65675C,#65675C,48,438,42,444,48,444
#A4918B,#A4918B,516,270,510,276,516,276
#65655D,#65655D,294,72,300,72,294,78
#745745,#745745,486,222,480,228,486,228
#B1B2AD,#B1B2AD,576,156,570,162,576,162
#D25660,#D25660,258,282,264,282,258,288
#A39787,#A39787,18,12,24,12,18,18
#4C4D45,#4C4D45,84,432,90,432,84,438
#9E5E5F,#9E5E5F,444,258,438,264,444,264
#725857,#725857,162,54,168,54,162,60
#CA778B,#CA778B,132,246,126,252,132,252
#8D684D,#8D684D,426,384,432,384,426,390
#381614,#381614,324,426,330,426,324,432
#8B8D88,#8B8D88,12,198,18,198,12,204
#E6EAF6,#E6EAF6,42,306,48,306,42,312
#A93035,#A93035,192,312,186,318,192,318
#EAE4D8,#EAE4D8,114,84,120,84,114,90
#FDFFFE,#FDFFFE,216,252,210,258,216,258
#958E7E,#958E7E,102,36,108,36,102,42
#D5D4CF,#D5D4CF,276,0,282,0,276,6
#503D2F,#503D2F,456,336,450,342,456,342
#91B55E,#91B55E,210,282,216,282,210,288
#765641,#765641,462,150,456,156,462,156
#A2A5AA,#A2A5AA,576,24,570,30,576,30
#383129,#383129,498,138,492,144,498,144
#817D72,#817D72,192,132,198,132,192,138
#4C382F,#4C382F,396,324,390,330,396,330
#9C9C9C,#9C9C9C,516,216,522,216,516,222
#4E4F47,#4E4F47,54,432,48,438,54,438
#9599A2,#9599A2,510,0,504,6,510,6
#261414,#261414,402,360,396,366,402,366
#6C6962,#6C6962,264,210,258,216,264,216
#43352A,#43352A,390,300,384,306,390,306
#BCB19F,#BCB19F,72,42,78,42,72,48
#6B5547,#6B5547,366,90,360,96,366,96
#D8CEB5,#D8CEB5,48,126,42,132,48,132
#87888C,#87888C,600,246,594,252,600,252
#9F9385,#9F9385,60,12,66,12,60,18
#88302F,#88302F,102,354,108,354,102,360
#82847F,#82847F,30,204,36,204,30,210
#745D4D,#745D4D,408,168,402,174,408,174
#8B3834,#8B3834,120,360,114,366,120,366
#67685A,#67685A,216,114,222,114,216,120
#715442,#715442,324,156,330,156,324,162
#DA9F75,#DA9F75,270,336,276,336,270,342
#C2CBD0,#C2CBD0,402,48,396,54,402,54
#634B3F,#634B3F,324,288,330,288,324,294
#D8CCB6,#D8CCB6,126,168,132,168,126,174
#FCC9D8,#FCC9D8,60,252,66,252,60,258
#585B52,#585B52,348,36,354,36,348,42
#171509,#171509,414,378,408,384,414,384
#A07958,#A07958,408,72,402,78,408,78
#67645B,#67645B,300,60,306,60,300,66
#595A52,#595A52,66,438,60,444,66,444
#5F6982,#5F6982,300,264,306,264,300,270
#571718,#571718,318,384,312,390,318,390
#272924,#272924,408,126,414,126,408,132
#6A6257,#6A6257,138,90,144,90,138,96
#2F2E2A,#2F2E2A,564,114,558,120,564,120
#40362C,#40362C,420,348,414,354,420,354
#DAD0B5,#DAD0B5,54,108,48,114,54,114
#20221F,#20221F,174,426,180,426,174,432
#151515,#151515,276,384,282,384,276,390
#353631,#353631,102,306,108,306,102,312
#CB4C57,#CB4C57,270,288,276,288,270,294
#604F3D,#604F3D,366,174,372,174,366,180
#A26054,#A26054,228,0,222,6,228,6
#B8B8BA,#B8B8BA,462,66,468,66,462,72
#656357,#656357,294,48,300,48,294,54
#818591,#818591,540,6,546,6,540,12
#7A4340,#7A4340,84,270,78,276,84,276
#685342,#685342,402,210,396,216,402,216
#4D362E,#4D362E,396,330,390,336,396,336
#38181B,#38181B,348,384,354,384,348,390
#E0A7B8,#E0A7B8,120,222,114,228,120,228
#BFC0C4,#BFC0C4,60,432,66,432,60,438
#A96C6B,#A96C6B,78,318,72,324,78,324
#3A3B33,#3A3B33,168,204,174,204,168,210
#6C5A4C,#6C5A4C,546,168,552,168,546,174
#121411,#121411,300,378,294,384,300,384
#52554C,#52554C,342,60,336,66,342,66
#867E71,#867E71,36,126,30,132,36,132
#635A51,#635A51,168,78,174,78,168,84
#6C6962,#6C6962,264,192,270,192,264,198
#4A4B3D,#4A4B3D,222,72,228,72,222,78
#856455,#856455,444,60,450,60,444,66
#60615B,#60615B,66,444,72,444,66,450
#EEEADF,#EEEADF,276,90,270,96,276,96
#171918,#171918,432,420,438,420,432,426
#4E4F47,#4E4F47,18,432,12,438,18,438
#171715,#171715,384,402,390,402,384,408
#402D27,#402D27,384,378,390,378,384,384
#421617,#421617,336,402,330,408,336,408
#5C5646,#5C5646,42,162,36,168,42,168
#10100E,#10100E,384,414,390,414,384,420
