#5B574C,#5B574C,396,228,402,228,396,234
#534538,#534538,552,132,558,132,552,138
#645244,#645244,534,168,540,168,534,174
#A8A8A8,#A8A8A8,570,168,576,168,570,174
#725945,#725945,534,120,528,126,534,126
#121212,#121212,288,438,282,444,288,444
#695848,#695848,408,186,414,186,408,192
#694F3E,#694F3E,414,366,420,366,414,372
#5F4C3B,#5F4C3B,366,204,360,210,366,210
#8E755F,#8E755F,60,180,66,180,60,186
#765B4A,#765B4A,330,132,324,138,330,138
#99313A,#99313A,126,360,120,366,126,366
#27271F,#27271F,234,432,240,432,234,438
#B2B3B5,#B2B3B5,564,48,570,48,564,54
#81282A,#81282A,162,378,168,378,162,384
#929CB5,#929CB5,258,246,252,252,258,252
#595049,#595049,252,0,258,0,252,6
#5F473B,#5F473B,384,330,390,330,384,336
#2E2F27,#2E2F27,6,348,12,348,6,354
#D04E58,#D04E58,258,288,252,294,258,294
#84614E,#84614E,432,72,426,78,432,78
#9A9180,#9A9180,78,96,84,96,78,102
#848486,#848486,186,156,180,162,186,162
#2B2D28,#2B2D28,84,390,78,396,84,396
#6B5E4E,#6B5E4E,558,186,552,192,558,192
#6F594B,#6F594B,378,78,384,78,378,84
#604639,#604639,306,318,300,324,306,324
#998E7C,#998E7C,24,36,30,36,24,42
#763F3C,#763F3C,84,288,90,288,84,294
#775C49,#775C49,510,330,504,336,510,336
#675143,#675143,420,204,426,204,420,210
#F3F2C6,#F3F2C6,336,108,330,114,336,114
#1B1D1A,#1B1D1A,402,402,396,408,402,408
#434949,#434949,528,342,522,348,528,348
#B1594D,#B1594D,186,60,180,66,186,66
#5E1317,#5E1317,318,414,312,420,318,420
#151513,#151513,396,438,390,444,396,444
#574E49,#574E49,246,24,252,24,246,30
#E0E0C,#E0E0C,402,432,408,432,402,438
#594638,#594638,336,276,330,282,336,282
#381010,#381010,348,414,342,420,348,420
#534A45,#534A45,6,258,12,258,6,264
#352C25,#352C25,384,300,378,306,384,306
#141517,#141517,420,420,414,426,420,426
#BABBBD,#BABBBD,480,18,486,18,480,24
#A19B79,#A19B79,582,306,576,312,582,312
#D6CBB5,#D6CBB5,192,204,198,204,192,210
#685D59,#685D59,378,210,372,216,378,216
#22231D,#22231D,60,354,66,354,60,360
#191917,#191917,186,408,180,414,186,414
#1E1B16,#1E1B16,552,138,558,138,552,144
